##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@슈마커
슈마커|E성수점|||슈마커||서울 성동구 뚝섬로 379||직영점||||||슈마커 E성수점|3층 슈마커|||91002
슈마커|제주연동점|||슈마커||제주특별자치도 제주시 노연로 99||직영점||||||슈마커 제주연동점|1,2,4 층 슈마커|||91002
슈마커|부산대점|||슈마커||부산 금정구 부산대학로 26||직영점||||||슈마커 부산대점|1층 슈마커|||91002
슈마커|E목포점|||슈마커||전남 목포시 옥암로 138||직영점||||||슈마커 E목포점|이마트|||91002
슈마커|여의도IFC몰점|||슈마커|02-6137-5808|서울 영등포구 국제금융로 10||직영점||||||슈마커 여의도IFC몰점|IFC몰 L2|||91002
슈마커|L잠실점|||슈마커||서울 송파구 올림픽로 240||직영점||||||슈마커 L잠실점|롯테마트 1층 슈마커|||91002
슈마커|L대구칠성점|||슈마커||대구 북구 호암로 1||직영점||||||슈마커 L대구칠성점|롯데마트 1층|||91002
슈마커|L경기양평점|||슈마커||경기 양평군 양평읍 남북로 76||직영점||||||슈마커 L경기양평점|1층|||91002
슈마커|서면피에스타|||슈마커||부산 부산진구 중앙대로 672||직영점||||||슈마커 서면피에스타|부선서면피에스타|||91002
슈마커|거제디큐브시티점|||슈마커||경남 거제시 장평로 12||직영점||||||슈마커 거제디큐브시티점|디큐브시티 거제점 3층 슈마커|||91002
슈마커|E의정부점|||슈마커||경기 의정부시 민락로 210||직영점||||||슈마커 E의정부점|이마트 의정부점 지하1층 슈마커|||91002
슈마커|구로마리오점|||슈마커|02-2067-2131|서울 금천구 벚꽃로 266||직영점||||||슈마커 구로마리오점|마리오아울렛 3관 지하1층 슈마커|||91002
슈마커|L송파점|||슈마커||서울 송파구 중대로 80||직영점||||||슈마커 L송파점|롯데마트 송파점 1층|||91002
슈마커|L대덕점|||슈마커||대전 유성구 테크노중앙로 14||직영점||||||슈마커 L대덕점|롯데마트 대덕점|||91002
슈마커|대전점|127.4271876|36.3294295|슈마커|042-226-2809|대전 중구 중앙로 159||직영점||||||슈마커 대전점|1층 슈마커 대전점|||91002
슈마커|E화정점|126.8334521|37.6326498|슈마커||경기 고양시 덕양구 백양로 79||직영점||||||슈마커 E화정점|이마트 화정점 지하2층|||91002
슈마커|남양주점|127.2740488|37.6545096|슈마커|031-595-2809||경기 남양주시 화도읍 묵현리 410|직영점||||||슈마커 남양주점|바바스몰 1층 슈마커|||91002
슈마커|E구미점|128.3648568|36.1094784|슈마커|054-465-5989||경북 구미시 광평동 65-1|직영점||||||슈마커 E구미점|이마트 구미점 지하1층 슈마커|||91002
슈마커|H대구점|128.5956297|35.8811526|슈마커|053-359-0010||대구 북구 칠성동2가 378-23|직영점||||||슈마커 H대구점|홈플러스 대구점 1층 슈마커|||91002
슈마커|E죽전점|127.1099743|37.325334|슈마커|070-8805-2809|경기 용인시 수지구 포은대로 552||직영점||||||슈마커 E죽전점|이마트 죽전점 1층 빅텐 슈마커|||91002
슈마커|의정부역점|127.0487717|37.738944|슈마커|031-846-2808||경기 의정부시 의정부동 175-2|직영점||||||슈마커 의정부역점|슈마커 의정부역점|||91002
슈마커|NC동아점|128.549023|35.9329989|슈마커|053-313-2809|대구 북구 칠곡중앙대로 416||직영점||||||슈마커 NC동아점|NC동아점 (직) 슈마커|||91002
슈마커|E다산점|127.1587077|37.6086511|슈마커|031-555-2809||경기 남양주시 도농동 1-29|직영점||||||슈마커 E다산점|이마트다산점 슈마커|||91002
슈마커|전주객사점|127.1456608|35.8195618|슈마커|063-231-2809||전북 전주시 완산구 고사동 58-1|직영점||||||슈마커 전주객사점|슈마커 전주객사점|||91002
슈마커|대전패션아일랜드점|127.4579664|36.3069843|슈마커|042-272-7768|대전 동구 은어송로 72||직영점||||||슈마커 대전패션아일랜드점|대전패션아일랜드 3층 슈마커|||91002
슈마커|E김천점|128.1170886|36.1348595|슈마커|054-435-1317|경북 김천시 시청로 75||직영점||||||슈마커 E김천점|이마트 김천점 슈마커|||91002
슈마커|L구미점|128.365409|36.1137881|슈마커|054-463-5989|경북 구미시 구미대로22길 11||직영점||||||슈마커 L구미점|롯데마트 구미점 2층|||91002
슈마커|L서울역점|126.9695122|37.557447|슈마커|02-365-8032|서울 중구 청파로 426||직영점||||||슈마커 L서울역점|롯데마트 서울역점 2층 슈마커|||91002
슈마커|L부평삼산점|126.7320538|37.5078882|슈마커|032-521-7888|인천 부평구 길주로 623||직영점||||||슈마커 L부평삼산점|롯데마트 삼산점 1층 슈마커|||91002
슈마커|E창원점|128.680191|35.2265398|슈마커|055-262-2809|경남 창원시 성산구 원이대로 608||직영점||||||슈마커 E창원점|이마트 창원점 3층 슈마커|||91002
슈마커|E상봉점|127.093618|37.5964905|슈마커|070-7788-2809|서울 중랑구 상봉로 118||직영점||||||슈마커 E상봉점|이마트 상봉점 3층 슈마커|||91002
