##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@아우디서비스
아우디서비스|동탄서비스센터|||아우디서비스|031-5183-3000|경기도 화성시 동탄순환대로 763||||||||아우디서비스 동탄서비스센터||||160433
아우디서비스|강동서비스센터|||아우디서비스|031-793-0200|경기도 하남시 미사강변중앙로 33||||||||아우디서비스 강동서비스센터||||160433
아우디서비스|양산서비스센터|||아우디서비스|055-375-7400|경상남도 양산시 양산대로 1222||||||||아우디서비스 양산서비스센터||||160433
아우디서비스|성수서비스센터|||아우디서비스|02-3425-0033|서울시 성동구 성수일로6길 10||||||||아우디서비스 성수서비스센터||||160433
아우디서비스|논현서비스센터|||아우디서비스|02-540-3900|서울시 강남구 언주로 133길 14||||||||아우디서비스 논현서비스센터||||160433
아우디서비스|삼성서비스센터|||아우디서비스|02-563-0450|서울시 강남구 삼성로 541||익스프레스||||||아우디서비스 삼성서비스센터||||160433
아우디서비스|대치서비스센터|||아우디서비스|02-3415-0200|서울시 강남구 영동대로 318||||||||아우디서비스 대치서비스센터||||160433
아우디서비스|서초서비스센터|||아우디서비스|02-597-8255|서울시 서초구 남부순환로 342길 94||||||||아우디서비스 서초서비스센터||||160433
아우디서비스|영등포서비스센터|||아우디서비스|02-2672-1468|서울시 영등포구 영신로 224||||||||아우디서비스 영등포서비스센터||||160433
아우디서비스|남산서비스센터|||아우디서비스|02-798-1468|서울 중구 동호로 211||||||||아우디서비스 남산서비스센터||||160433
아우디서비스|방배서비스센터|||아우디서비스|02-535-1463|서울시 서초구 방배로 231||||||||아우디서비스 방배서비스센터||||160433
아우디서비스|개포서비스센터|||아우디서비스|02-573-1463|서울시 강남구 논현로 18길 9||||||||아우디서비스 개포서비스센터||||160433
아우디서비스|서초서비스센터|||아우디서비스|02-3486-8255|서울시 서초구 반포대로 37||익스프레스||||||아우디서비스 서초서비스센터||||160433
아우디서비스|송파대로서비스센터|||아우디서비스|02-2185-0200|서울특별시 송파구 충민로2길 8||||||||아우디서비스 송파대로서비스센터||||160433
아우디서비스|인천서비스센터|||아우디서비스|032-433-1463|인천광역시 남동구 논현고잔로 128번길 66||||||||아우디서비스 인천서비스센터||||160433
아우디서비스|주안서비스센터|||아우디서비스|032-465-1463|인천광역시 남구 인주대로 434번길 3||||||||아우디서비스 주안서비스센터||||160433
아우디서비스|수원서비스센터|||아우디서비스|031-634-0033|경기도 용인시 기흥구 중부대로 194||||||||아우디서비스 수원서비스센터||||160433
아우디서비스|분당서비스센터|||아우디서비스|031-715-8255|경기도 성남시 분당구 새마을로 31||||||||아우디서비스 분당서비스센터||||160433
아우디서비스|일산서비스센터|||아우디서비스|031-905-1463|경기도 고양시 일산서구 송파로 131||||||||아우디서비스 일산서비스센터||||160433
아우디서비스|용인서비스센터|||아우디서비스|031896-8255|경기도 용인시 기흥구 용구대로 2469번길 145||||||||아우디서비스 용인서비스센터||||160433
아우디서비스|대전서비스센터|||아우디서비스|042-862-8802|대전광역시 대덕구 신탄진로 341||||||||아우디서비스 대전서비스센터||||160433
아우디서비스|천안서비스센터|||아우디서비스|041-563-5900|충청남도 천안시 동남구 만남로 64||||||||아우디서비스 천안서비스센터||||160433
아우디서비스|청주서비스센터|||아우디서비스|043-285-8802|충청북도 청주시 서원구 2순환로 1803||||||||아우디서비스 청주서비스센터||||160433
아우디서비스|광주서비스센터|||아우디서비스|062-524-5959|광주광역시 남구 송암로 24번가길 18||||||||아우디서비스 광주서비스센터||||160433
아우디서비스|순천서비스센터|||아우디서비스|061-724-3500|전라남도 순천시 왕지5길 4||||||||아우디서비스 순천서비스센터||||160433
아우디서비스|전주서비스센터|||아우디서비스|063-290-0000|전라북도 완주군 이서면 콩쥐팥쥐로 964||||||||아우디서비스 전주서비스센터||||160433
아우디서비스|대구서비스센터|||아우디서비스|053-350-8900|대구광역시 서구 서대구로 63길 5||||||||아우디서비스 대구서비스센터||||160433
아우디서비스|대구수성서비스센터|||아우디서비스|053-255-8900|대구광역시 수성구 수성로 247||||||||아우디서비스 대구수성서비스센터||||160433
아우디서비스|서대구서비스센터|||아우디서비스|053-780-0200|대구광역시 달서구 와룡로 170||||||||아우디서비스 서대구서비스센터||||160433
아우디서비스|포항서비스센터|||아우디서비스|054-283-3006|경상북도 포항시 남구 연일중앙로 59||||||||아우디서비스 포항서비스센터||||160433
아우디서비스|민락서비스센터|||아우디서비스|051-626-0056|부산광역시 수영구 무학로 60||||||||아우디서비스 민락서비스센터||||160433
아우디서비스|사상서비스센터|||아우디서비스|051-995-0088|부산시 사상구 학감대로 191번길 9||||||||아우디서비스 사상서비스센터||||160433
아우디서비스|창원서비스센터|||아우디서비스|055-245-0999|경상남도 창원시 마산합포구 해안대로 232||||||||아우디서비스 창원서비스센터||||160433
아우디서비스|울산서비스센터|||아우디서비스|052-227-2255|울산광역시 남구 정동로 127||||||||아우디서비스 울산서비스센터||||160433
아우디서비스|진주서비스센터|||아우디서비스|055-754-8118|경상남도 진주시 천수로 294-1||||||||아우디서비스 진주서비스센터||||160433
아우디서비스|원주서비스센터|||아우디서비스||강원도 원주시 치악로 1221-7||||||||아우디서비스 원주서비스센터||||160433
아우디서비스|춘천서비스센터|||아우디서비스||강원도 춘천시 춘천순환로 503||||||||아우디서비스 춘천서비스센터||||160433
아우디서비스|제주서비스센터|||아우디서비스|064-744-0911|제주특별자치도 제주시 연삼로 111||||||||아우디서비스 제주서비스센터||||160433
