##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@벤츠
메르세데스벤츠|강남/전시장|||벤츠|02-513-3000|서울특별시 강남구 도산대로 239|||월~금: 08:30 21:00 주말 및 공휴일: 08:30 20:00|||||메르세데스벤츠 강남/전시장||||160721
메르세데스벤츠|강남대로/전시장|||벤츠|02-575-7500|서울특별시 강남구 강남대로 284|||09:00 21:00 (연중무휴)|||||메르세데스벤츠 강남대로/전시장|더클래스효성빌딩|||160721
메르세데스벤츠|강남/자곡/전시장|||벤츠|02-6007-0100|서울특별시 강남구 자곡로 204-3|||09:00 21:00 (연중무휴)|||||메르세데스벤츠 강남/자곡/전시장||||160721
메르세데스벤츠|강북/전시장|||벤츠|02-6678-7500|서울특별시 강북구 도봉로 233|||09:00 20:00 (연중무휴)|||||메르세데스벤츠 강북/전시장||||160721
메르세데스벤츠|강서/목동/전시장|||벤츠|02-6355-0000|서울특별시 강서구 공항대로 665|||09:00 20:00 (연중무휴)|||||메르세데스벤츠 강서/목동/전시장||||160721
메르세데스벤츠|금천/전시장|||벤츠|02-6139-0000|서울특별시 금천구 시흥대로 173|||09:00 20:00 (연중무휴)|||||메르세데스벤츠 금천/전시장||||160721
메르세데스벤츠|동대문/전시장|||벤츠|02-2215-2233|서울특별시 성동구 천호대로 360|||09:00 21:00 (연중무휴)|||||메르세데스벤츠 동대문/전시장||||160721
메르세데스벤츠|방배/전시장|||벤츠|02-532-3421|서울특별시 서초구 방배로 137|||월~금: 09:00 21:00 주말 및 공휴일: 09:00 20:00|||||메르세데스벤츠 방배/전시장|한성모터타워|||160721
메르세데스벤츠|삼성/전시장|||벤츠|02-550-4000|서울특별시 강남구 영동대로 334|||월~금: 09:00 21:00 주말 및 공휴일: 09:00 20:00|||||메르세데스벤츠 삼성/전시장||||160721
메르세데스벤츠|서초/전시장|||벤츠|02-550-5000|서울특별시 서초구 반포대로 52|||월~금: 09:00 21:00 주말 및 공휴일: 09:00 20:00|||||메르세데스벤츠 서초/전시장||||160721
