##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@파리바게뜨
파리바게뜨|강릉포남점|128.9123473|37.7701307|파리바게뜨|033-652-8202||강원 강릉시 포남동 1184|||||||파리바게뜨 강릉포남점||||80801
파리바게뜨|강릉입암점|128.9182334|37.7601260|파리바게뜨|033-643-0900|강원 강릉시 월대산로 71||||||||파리바게뜨 강릉입암점|(입암동)|||80801
파리바게뜨|강릉교동점|128.8774921|37.7635183|파리바게뜨|033-648-8249|강원 강릉시 솔올로 17||||||||파리바게뜨 강릉교동점|(교동)|||80801
파리바게뜨|강릉초당점|128.9160427|37.7834248|파리바게뜨|033-651-8100|강원 강릉시 연당길 62||||||||파리바게뜨 강릉초당점|(초당동)|||80801
파리바게뜨|강릉사랑점|128.8964346|37.7546254|파리바게뜨|033-648-1052|강원 강릉시 경강로 2098||||||||파리바게뜨 강릉사랑점|(임당동)|||80801
파리바게뜨|강릉유천점|128.8673746|37.7571748|파리바게뜨|033-643-6361|강원 강릉시 선수촌로63번길 26-9||||||||파리바게뜨 강릉유천점|(홍제동)|||80801
파리바게뜨|강릉내곡점|128.8833418|37.7449657|파리바게뜨|033-655-8279|강원 강릉시 범일로 645||||||||파리바게뜨 강릉내곡점|(내곡동,내곡동 현대아파트)|||80801
파리바게뜨|동해점|129.1137588|37.5220584|파리바게뜨|033-532-8256|강원 동해시 중앙로 237||||||||파리바게뜨 동해점|(천곡동)|||80801
파리바게뜨|삼척사랑점|129.1637983|37.4420478|파리바게뜨|033-575-8245|강원 삼척시 진주로 31||||||||파리바게뜨 삼척사랑점|(남양동) 17-56|||80801
파리바게뜨|삼척교동점|129.1753044|37.4483576|파리바게뜨|033-574-8245|강원 삼척시 정상로 74||||||||파리바게뜨 삼척교동점|(교동) 101호|||80801
파리바게뜨|동해효가점|129.1089781|37.4863092|파리바게뜨|033-521-8500|강원 동해시 청운1길 51-1||||||||파리바게뜨 동해효가점|(쇄운동)|||80801
파리바게뜨|강원평창점|128.3957277|37.3675736|파리바게뜨|033-332-8228|강원 평창군 평창읍 백오로 104||||||||파리바게뜨 강원평창점||||80801
파리바게뜨|영월점|128.4655897|37.1837949|파리바게뜨|033-373-8500|강원 영월군 영월읍 중앙1로 29||||||||파리바게뜨 영월점||||80801
파리바게뜨|정선고한점|128.854|37.201|파리바게뜨|033-592-9208|강원 정선군 고한읍 고한6길 1||||||||파리바게뜨 정선고한점||||80801
파리바게뜨|태백중앙점|128.9920823|37.1725560|파리바게뜨|033-552-8208|강원 태백시 황지로 155||||||||파리바게뜨 태백중앙점|(황지동)|||80801
