##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@BMW
BMW|강남/전시장/|127.0341130|37.5219900|BMW|02-546-7301|서울특별시 강남구 도산대로 301|서울특별시 강남구 신사동 630-7||[평일]08:00~21:00[토요일]09:00~20:00[일요일]09:00~20:00[공휴일]09:00~20:00|||||BMW 강남/전시장/||||160710
BMW|강북/전시장|127.0290390|37.6180150|BMW|02-987-0123|서울특별시 강북구 도봉로 101|서울특별시 강북구 미아동 374-1||[평일]09:00~21:00[토요일]09:00~21:00[일요일]09:00~21:00|||||BMW 강북/전시장||||160710
BMW|대치/전시장|127.0553470|37.4974680|BMW|02-554-7601|서울특별시 강남구 도곡로 411|서울특별시 강남구 대치동 938-21||[평일]08:30~21:00[토요일]09:00~21:00[일요일]09:00~21:00|||||BMW 대치/전시장||||160710
BMW|동대문/전시장|127.0566030|37.5643600|BMW|02-2235-7301|서울특별시 동대문구 천호대로 329|서울특별시 동대문구 답십리동 530-19||[평일]08:30~21:00[토요일]09:00~21:00[일요일]09:00~21:00|||||BMW 동대문/전시장||||160710
BMW|목동/전시장/|126.8715960|37.5241760|BMW|02-2649-7301|서울특별시 양천구 목동동로 210|서울시 양천구 목동 405-205||[평일]08:30~21:00[토요일]09:00~21:00[일요일]09:00~21:00[공휴일]09:00~21:00|||||BMW 목동/전시장/||||160710
BMW|방배/전시장/|126.9908770|37.4927230|BMW|02-3477-0123|서울특별시 서초구 방배로 218|서울특별시 서초구 방배동 810-1||[평일]09:00~21:00[토요일]09:00~21:00[일요일]09:00~21:00|||||BMW 방배/전시장/||||160710
BMW|삼성/전시장|127.0669198|37.5012889|BMW|02-568-7301|서울특별시 강남구 영동대로 301|서울특별시 강남구 대치동 984-6||[평일]08:00~21:00[토요일]09:00~21:00[일요일]09:00~21:00[공휴일]09:00~21:00|||||BMW 삼성/전시장||||160710
BMW|서초/전시장|127.0105640|37.4868960|BMW|02-595-0123|서울특별시 서초구 반포대로 72|서울특별시 서초구 서초동 1582-2||[평일]09:00~21:00[토요일]09:00~21:00[일요일]09:00~21:00|||||BMW 서초/전시장||||160710
BMW|성수/전시장|127.063724|37.542508|BMW|02-2170-7301|서울시 성동구 동일로 111|서울시 성동구 성수2가 19-24||평일:08:30~21:00공휴일:09:00~21:00|||||BMW 성수/전시장||||160710
BMW|송파/전시장/|127.0944670|37.5028520|BMW|02-416-7301|서울특별시 송파구 백제고분로 251|서울특별시 송파구 삼전동 101-17||[평일]08:30~21:00[토요일]08:30~21:00[일요일]08:30~21:00|||||BMW 송파/전시장/||||160710
BMW|양재/전시장|127.0353650|37.4617950|BMW|02-545-7301|서울특별시 서초구 양재대로11길 36|서울특별시 서초구 양재동 217||[평일]08:30~21:00[토요일]08:30~21:00[일요일]08:30~21:00|||||BMW 양재/전시장||||160710
BMW|용산/전시장|126.9706050|37.5410100|BMW|02-3275-0123|서울특별시 용산구 청파로 241|서울특별시 용산구 원효로1가 112-10||[평일]09:00~21:00[토요일]09:00~21:00[일요일]09:00~21:00|||||BMW 용산/전시장||||160710
BMW|잠실/전시장|127.1079970|37.5155480|BMW|02-419-7301|서울특별시 송파구 올림픽로 340|서울특별시 송파구 방이동 23||[평일]08:30~21:00[토요일]09:00~21:00[일요일]09:00~21:00|||||BMW 잠실/전시장||||160710
BMW|한남/전시장/|127.0032360|37.5419360|BMW|02-749-7301|서울특별시 용산구 한남대로 152|서울특별시 용산구 한남동 726-420||[평일]08:30~21:00[토요일]08:30~21:00[일요일]08:30~21:00|||||BMW 한남/전시장/||||160710
BMW|BPS/가양/전시장|126.8485630|37.5670660|BMW|1644-3883|서울특별시 강서구 양천로53길 30|서울특별시 강서구 가양동 51-3||[평일]08:30~20:00[토요일]09:00~20:00[일요일]09:00~20:00|||||BMW BPS/가양/전시장|서서울모토리움 1층|||160710
BMW|BPS/성동/전시장|127.0684010|37.5598190|BMW|02-2214-7301|서울특별시 성동구 자동차시장1길 96|서울특별시 성동구 용답동 238-1||[평일]09:00~20:00[토요일]09:00~19:00[일요일]09:00~19:00|||||BMW BPS/성동/전시장|2층|||160710
BMW|BPS/양재/전시장|127.0353650|37.4617950|BMW|1644-8844|서울특별시 서초구 양재대로11길 36|서울특별시 서초구 양재동 217||[평일]08:30~20:30[토요일]09:00~20:00[일요일]09:00~20:00|||||BMW BPS/양재/전시장|서울오토갤러리 금관1층|||160710
BMW|고양/스타필드/전시장|126.894833|37.646967|BMW|02-6958-7501|경기도 고양시 덕양구 고양대로 1955|경기도 고양시 덕양구 동산동 370||[평일]10:00~22:00[토요일]10:00~22:00[일요일]10:00~22:00|||||BMW 고양/스타필드/전시장|스타필드,2104호;2층 2104호|||160710
BMW|부천/전시장|126.766000|37.483804|BMW|032-654-7301|경기도 부천시 경인로 96|경기도 부천시 송내동 387||[평일]09:00~21:00[토요일]09:00~20:00[일요일]09:00~20:00[공휴일]09:00~20:00|||||BMW 부천/전시장||||160710
BMW|분당/전시장|127.144573|37.374548|BMW|031-716-7401|경기도 성남시 분당구 서현로429번길 2|경기도 성남시 분당구 분당동 98-1||[평일]08:00~21:00[토요일]09:00~21:00[일요일]09:00~21:00[공휴일]09:00~21:00|||||BMW 분당/전시장||||160710
BMW|분당(궁내)/전시장|127.1011800|37.3730820|BMW|031-781-0123|경기도 성남시 분당구 대왕판교로 331|경기도 성남시 분당구 궁내동 314||[평일]09:00~21:00[토요일]09:00~21:00[일요일]09:00~21:00|||||BMW 분당(궁내)/전시장||||160710
BMW|송도/전시장/|126.6377990|37.3966690|BMW|032-427-7301|인천광역시 연수구 첨단대로 124번길 74|인천광역시 연수구 송도동 220-6||[평일]08:30~21:00[토요일]09:00~21:00[일요일]09:00~21:00[공휴일]09:00~21:00|||||BMW 송도/전시장/|Bavarian Songdo Complex;Bavarian Songdo Complex|||160710
