##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@쉐보레부품대리점
쉐보레부품대리점|하나로자동차써비스|126.68328270000006|37.6306526|쉐보레부품대리점|031-989-5720|경기 김포시 옹주물로 108||||||||쉐보레부품대리점 하나로자동차써비스|(감정동)|||160409
쉐보레부품대리점|일광사|129.35287589999996|35.5525507|쉐보레부품대리점|052-288-4201|울산 북구 명촌로 8||||||||쉐보레부품대리점 일광사|(진장동)|||160409
쉐보레부품대리점|우진상사|129.11893740000005|35.1614113|쉐보레부품대리점|051-758-2599|부산 수영구 무학로 45||||||||쉐보레부품대리점 우진상사|(광안동)|||160409
쉐보레부품대리점|이천쉐보레|127.46070583380828|37.28935154520525|쉐보레부품대리점|031-631-3109|경기 이천시 갈산로 65||||||||쉐보레부품대리점 이천쉐보레|(증포동)|||160409
쉐보레부품대리점|성원상사|128.22619929999996|37.1357739|쉐보레부품대리점|043-646-2725|충북 제천시 신백로 124||||||||쉐보레부품대리점 성원상사|(신백동)|||160409
쉐보레부품대리점|영광상사|129.21561169999995|35.2342295|쉐보레부품대리점|051-724-3926|부산 기장군 기장읍 대청로72번길 28||||||||쉐보레부품대리점 영광상사||||160409
쉐보레부품대리점|칠곡상사|128.55333970000004|35.952249|쉐보레부품대리점|053-322-2525|대구 북구 칠곡중앙대로 637||||||||쉐보레부품대리점 칠곡상사|(읍내동)|||160409
쉐보레부품대리점|삼척GM부품|129.17131040000004|37.438037|쉐보레부품대리점|033-573-0074|강원 삼척시 오십천로 490||||||||쉐보레부품대리점 삼척GM부품|(정상동)|||160409
쉐보레부품대리점|GM쉐보레영주부품|128.6160833|36.829197|쉐보레부품대리점|054-636-8272|경북 영주시 구성로 442||||||||쉐보레부품대리점 GM쉐보레영주부품|(영주동)|||160409
쉐보레부품대리점|한국지엠마산부품센타|128.51085360000002|35.2435735|쉐보레부품대리점|055-232-2541|경남 창원시 마산회원구 내서읍 중리공단로 113||||||||쉐보레부품대리점 한국지엠마산부품센타||||160409
쉐보레부품대리점|지엠남구미부품|128.3647178|36.0872967|쉐보레부품대리점|054-465-1137|경북 구미시 왕산로3길 5||||||||쉐보레부품대리점 지엠남구미부품|(임은동)|||160409
쉐보레부품대리점|지엠종합상사|126.64819009999996|37.4510122|쉐보레부품대리점|032-887-0636|인천 남구 용오로 116-66||||||||쉐보레부품대리점 지엠종합상사|23통 5반 (용현동)|||160409
쉐보레부품대리점|대운상사|126.91148640000006|35.1600655|쉐보레부품대리점|062-521-3385|광주 북구 경양로 179||||||||쉐보레부품대리점 대운상사|(중흥동)|||160409
쉐보레부품대리점|대신상사|128.5828073|35.8857114|쉐보레부품대리점|053-357-8436|대구 북구 팔달로 63||||||||쉐보레부품대리점 대신상사|(노원동3가)|||160409
쉐보레부품대리점|경성물산|126.99937339999997|37.2598922|쉐보레부품대리점|031-232-8026|경기 수원시 권선구 매송고색로 898||||||||쉐보레부품대리점 경성물산|(평동)|||160409
쉐보레부품대리점|강릉지엠부품|128.91986789999999|37.7648866|쉐보레부품대리점|033-652-4289|강원 강릉시 강변로534번길 11||||||||쉐보레부품대리점 강릉지엠부품|(입암동)|||160409
