##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@제주은행
제주은행|공항지점|126.49303905642583|33.50691054863692|제주은행|064-746-0607|제주특별자치도 제주시 공항로 2|||09:00~16:00|||||제주은행 공항지점|(용담이동)|||40204
제주은행|광장지점|126.561808|33.253802|제주은행|064-732-6033|제주특별자치도 서귀포시 일주동로 8670|||09:00~16:00|||||제주은행 광장지점|(동홍동)|||40204
제주은행|남문지점|126.52746594884462|33.503374778900074|제주은행|064-722-4611|제주특별자치도 제주시 중앙로 177|||09:00~16:00|||||제주은행 남문지점|(이도일동)|||40204
제주은행|남원점|126.72138547307232|33.27997541017898|제주은행|064-764-2121|제주특별자치도 서귀포시 남원읍 태위로 701|||09:00~16:00|||||제주은행 남원점||||40204
제주은행|노형금융센터|126.4805301344115|33.48703716074461|제주은행|064-744-2111|제주특별자치도 제주시 도령로 11|||09:00~16:00|||||제주은행 노형금융센터|(노형동)|||40204
제주은행|노형뉴타운지점|126.47216323818358|33.485631304511806|제주은행|064-713-9161|제주특별자치도 제주시 수덕로 49|||09:00~16:00|||||제주은행 노형뉴타운지점|임당빌딩1층 (노형동)|||40204
제주은행|동광로지점|126.53913908488298|33.50605872459084|제주은행|064-758-3146|제주특별자치도 제주시 동광로 108|||09:00~16:00|||||제주은행 동광로지점|(일도2동)|||40204
제주은행|모슬포지점|126.25344690159278|33.22184926169208|제주은행|064-794-2463|제주특별자치도 서귀포시 대정읍 하모상가로 43|||09:00~16:00|||||제주은행 모슬포지점||||40204
제주은행|부산지점|129.03936213112132|35.091128772102984|제주은행|051-418-4618|부산광역시 영도구 절영로 35|||09:00~16:00|||||제주은행 부산지점|(남항동1가)|||40204
제주은행|삼화점|126.579075|33.516750|제주은행|064-753-7851|제주특별자치도 제주시 건주로 27|||10:00~17:00|||||제주은행 삼화점|(도련일동) 2층 202호|||40204
제주은행|서광로지점|126.51520578226062|33.50033761809735|제주은행|064-752-7201|제주특별자치도 제주시 서광로 175|||09:00~16:00|||||제주은행 서광로지점|(용담일동)|||40204
