##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@교보생명
교보생명|순천고객PLAZA|||교보생명|1588-1001|전남 순천시 이수로 296||||||||교보생명 순천고객PLAZA|3층 순천고객PLAZA (연향동,청우빌딩 )|||40609
교보생명|목포고객PLAZA|||교보생명|1588-1001|전남 목포시 백년대로 304||||||||교보생명 목포고객PLAZA|1층 목포고객PLAZA (상동,에스엘빌딩 )|||40609
교보생명|여수고객PLAZA|||교보생명|1588-1001||전남 여수시 서교동 680|||||||교보생명 여수고객PLAZA|교보빌딩 1층|||40609
교보생명|전남FP지원단|||교보생명|061-725-3510|전남 순천시 이수로 296||||||||교보생명 전남FP지원단|10층 (연향동,청우빌딩 )|||40609
교보생명|목포FP지원단|||교보생명|061-245-5702|전남 목포시 백년대로 304||||||||교보생명 목포FP지원단|3층 목포지원단 (상동,SL빌딩 )|||40609
교보생명|영광FP지점|||교보생명|061-351-3011|전남 영광군 영광읍 신남로 151||||||||교보생명 영광FP지점|2층 (단주리,전남빌딩 )|||40609
교보생명|영암FP지점|||교보생명|061-473-2166|전남 영암군 영암읍 중앙로 36||||||||교보생명 영암FP지점|2층 영암FP지점 (동무리 )|||40609
교보생명|목포FP지점|||교보생명|061-242-8995|전남 목포시 백년대로 304||||||||교보생명 목포FP지점|2층 목포FP지점 (상동,SL빌딩 )|||40609
교보생명|나주FP지점|||교보생명|061-334-2036|전남 나주시 빛가람로 676||||||||교보생명 나주FP지점|4층 교보생명 나주지점 (빛가람동,씨티원빌딩 )|||40609
교보생명|진도FP지점|||교보생명|061-543-3864|전남 진도군 진도읍 동외1길 6||||||||교보생명 진도FP지점|-4,3층 진도FP지점 (동외리,서울웨딩홀 )|||40609
교보생명|여천FP지점|||교보생명|061-685-4433|전남 여수시 망마로 39||||||||교보생명 여천FP지점|6층 (학동,준빌딩 )|||40609
교보생명|고흥영업점|||교보생명|061-834-2101|전남 고흥군 고흥읍 여산당촌길 16||||||||교보생명 고흥영업점|홈마트 3층 (서문리 )|||40609
교보생명|순천FP지점|||교보생명|061-726-1640|전남 순천시 이수로 296||||||||교보생명 순천FP지점|10층 순천FP지점 (연향동 )|||40609
교보생명|좌수영FP지점|||교보생명|061-643-1412|전남 여수시 신월로 804||||||||교보생명 좌수영FP지점|5층 (서교동,교보빌딩 )|||40609
교보생명|무안FP지점|||교보생명|061-453-6590||전남 무안군 무안읍 성남리 77-4|||||||교보생명 무안FP지점|커뮤니케이션빌딩 3층|||40609
교보생명|장흥FP지점|||교보생명|061-862-5598|전남 장흥군 장흥읍 동교3길 5||||||||교보생명 장흥FP지점|상가동 3층 (건산리,교보생명 )|||40609
교보생명|해남영업점|||교보생명|061-536-4367|전남 해남군 해남읍 중앙1로 95||||||||교보생명 해남영업점|2층 (해리,윤영민빌딩 )|||40609
교보생명|목포중앙FP지점|||교보생명|061-245-5274|전남 목포시 백년대로 304||||||||교보생명 목포중앙FP지점|3층 목포중앙FP지점 (상동,교보생명 )|||40609
교보생명|여수중앙FP지점|||교보생명|061-642-7375|전남 여수시 신월로 804||||||||교보생명 여수중앙FP지점|4층 연등FP지점 (서교동,교보빌딩 )|||40609
교보생명|광양FP지점|||교보생명|061-791-3368|전남 광양시 중동로 75||||||||교보생명 광양FP지점|-2,3층 (중동,노블레스시티 )|||40609
교보생명|순천GFP지점|||교보생명|061-725-8351||전남 순천시 연향동 1317|||||||교보생명 순천GFP지점|1 호 청우빌딩 9층|||40609
