##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@신선설농탕
신선설농탕|고척점|||신선설농탕|02-2615-8080|서울 구로구 경인로 385|||24시간(단,일요일은24시까지)|||||신선설농탕 고척점|(고척동 72-1번지)|||81025
신선설농탕|광나루역점|||신선설농탕|02-446-9944||서울 광진구 광장동 240-8||24시간|||||신선설농탕 광나루역점|외필지 1층|||81025
신선설농탕|구리점|||신선설농탕|031-554-3500||경기 구리시 인창동 609-1||24시간|||||신선설농탕 구리점||||81025
시화담|그릴|||신선설농탕|02-793-9292|서울 용산구 이태원로 254|||11:30~22:00|||||시화담 그릴|2층|||81025
신선설농탕|길동점|||신선설농탕|02-471-2525|서울 강동구 천호대로 1201|||07:00~23:00|||||신선설농탕 길동점|(길동)|||81025
신선설농탕|김포점|||신선설농탕|031-985-3361||경기 김포시 사우동 121-1||24시간|||||신선설농탕 김포점||||81025
신선설농탕|노원역점|||신선설농탕|02-934-3388|서울 노원구 노해로 511|||24시간|||||신선설농탕 노원역점|1층 (상계동)|||81025
신선설농탕|당산역점|||신선설농탕|02-2634-0051||서울 영등포구 당산동5가 33-9||07:00~23:00|||||신선설농탕 당산역점|1층|||81025
신선설농탕|도곡점|||신선설농탕|02-571-6375||서울 서초구 양재동 3-3||24시간|||||신선설농탕 도곡점|1층|||81025
신선설농탕|독산점|||신선설농탕|02-851-1900||서울 금천구 독산동 289-7||24시간|||||신선설농탕 독산점|1층|||81025
신선설농탕|명동점|||신선설농탕|02-777-4531||서울 중구 명동2가 2-2||24시간|||||신선설농탕 명동점||||81025
신선설농탕|목동점|||신선설농탕|02-2650-8868||서울 양천구 신정동 321-6||07:00~24:00|||||신선설농탕 목동점|센트럴프라자상가 1층 107호~108호|||81025
신선설농탕|발산역점|||신선설농탕|02-3664-7100||서울 강서구 등촌동 668-11||24시간(단,일요일24시마감/월요일7시오픈)|||||신선설농탕 발산역점|(공항대로 323)|||81025
신선설농탕|방이점|||신선설농탕|02-422-0069||서울 송파구 방이동 24-4||24시간|||||신선설농탕 방이점||||81025
수련|본점|||신선설농탕|032-329-9100||경기 부천시 원미구 중3동 1086||12:00~22:00(20시30분까지방문고객에한하여식사가능합니다.)브레이크타임:15:30~17:30|||||수련 본점|신선빌딩 3층|||81025
우소보소|본점|||신선설농탕|032-327-3392||경기 부천시 원미구 중3동 1086||11:30~22:00(21시20분까지방문고객에한하여식사가능합니다.)|||||우소보소 본점|신선빌딩 2층|||81025
신선설농탕|부평역점|||신선설농탕|032-503-9911||인천 부평구 부평동 159-40||07:00~23:00|||||신선설농탕 부평역점|(인천광역시 부평구 경원대로 1405)|||81025
신선설농탕|부평점|||신선설농탕|032-514-3966||인천 부평구 부평동 10-868||24시간|||||신선설농탕 부평점|10-873|||81025
신선설농탕|북수원점|||신선설농탕|031-547-9633||경기 수원시 장안구 조원동 752-15||24시간(단,일요일은24시까지)|||||신선설농탕 북수원점|2층|||81025
신선설농탕|분당서현점|||신선설농탕|031-708-0041||경기 성남시 분당구 서현동 254-4||24시간운영|||||신선설농탕 분당서현점|여암빌딩 1층|||81025
신선설농탕|산본점|||신선설농탕|031-391-0067||경기 군포시 산본동 1136||07:00~23:00|||||신선설농탕 산본점|한솔프라자 202,203,204호|||81025
신선설농탕|서울대역점|||신선설농탕|02-871-9500||서울 관악구 봉천동 863-2||24시간|||||신선설농탕 서울대역점|1층|||81025
신선설농탕|서초점|||신선설농탕|02-3473-1155||서울 서초구 서초동 1443-8||24시간(단,일요일24시마감/월요일7시오픈)|||||신선설농탕 서초점||||81025
신선설농탕|수원영통점|||신선설농탕|031-202-0039||경기 수원시 영통구 영통동 976-17||24시간|||||신선설농탕 수원영통점||||81025
신선설농탕|수지점|||신선설농탕|031-272-0041||경기 용인시 수지구 신봉동 899||07:00~24:00|||||신선설농탕 수지점|부광타워|||81025
신선설농탕|신촌점|||신선설농탕|02-393-0040||서울 서대문구 창천동 5-38||24시간|||||신선설농탕 신촌점||||81025
신선설농탕|안산중앙점|||신선설농탕|031-482-3952||경기 안산시 단원구 고잔동 536||24시간|||||신선설농탕 안산중앙점||||81025
신선설농탕|안양역점|||신선설농탕|031-441-5500||경기 안양시 만안구 안양동 1195-49||24시간|||||신선설농탕 안양역점|1층|||81025
