##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@르꼬끄스포르티브
르꼬끄스포르티브|롯데은평몰점|126.9210659129|37.6349668825|르꼬끄스포르티브|02-6975-5213||서울특별시 은평구 진관동 79-15|||||||르꼬끄스포르티브 롯데은평몰점|롯데몰은평점 2층|||91001
르꼬끄스포르티브|홍대직영점|126.9059612|37.5532019|르꼬끄스포르티브|02-326-0025|서울특별시 마포구 홍익로 7||||||||르꼬끄스포르티브 홍대직영점|소망빌딩 1층|||91001
르꼬끄스포르티브|아이파크2점|126.961856|37.5288539|르꼬끄스포르티브|02-2012-4671|서울특별시 용산구 한강대로23길 55||||||||르꼬끄스포르티브 아이파크2점|아이파크몰 6층|||91001
르꼬끄스포르티브|롯데아울렛서울역(정상)점|126.9717340524|37.5548376897|르꼬끄스포르티브|02-6965-2810|서울특별시 중구 한강대로 405||||||||르꼬끄스포르티브 롯데아울렛서울역(정상)점|롯데아울렛서울역점 4F|||91001
르꼬끄스포르티브|커먼그라운드점|127.066038|37.541407|르꼬끄스포르티브|02-2122-1188|서울특별시 광진구 아차산로 200||||||||르꼬끄스포르티브 커먼그라운드점|마켓홀 1층 르꼬끄스포르티브|||91001
르꼬끄스포르티브|롯데월드몰직영점|127.1048006|37.5136017|르꼬끄스포르티브|02-3213-4337|서울특별시 송파구 올림픽로 300||||||||르꼬끄스포르티브 롯데월드몰직영점|롯데월드몰 3층|||91001
르꼬끄스포르티브|바운더리반포점|126.9018281|37.5337534|르꼬끄스포르티브|070-8810-1975||서울특별시 서초구 잠원동 121|||||||르꼬끄스포르티브 바운더리반포점|한강공원잠원안내센터 122-2 한강자전거공방|||91001
르꼬끄스포르티브|타임스퀘어몰직영점|126.9033476|37.5170956|르꼬끄스포르티브|02-2638-2555|서울특별시 영등포구 영중로 15||||||||르꼬끄스포르티브 타임스퀘어몰직영점|타임스퀘어 3F 328|||91001
르꼬끄스포르티브|포도몰2점|126.9302342072|37.4838502579|르꼬끄스포르티브|02-881-8153|서울특별시 관악구 신림로 330||||||||르꼬끄스포르티브 포도몰2점|5층 (포도몰)|||91001
르꼬끄스포르티브|롯데본점(의류)점|126.9815818|37.5647906|르꼬끄스포르티브|02-772-3769||서울 중구 소공동 1|||||||르꼬끄스포르티브 롯데본점(의류)점|롯데백화점 7층 르꼬끄 스포르티브|||91001
르꼬끄스포르티브|롯데본점(신발)점|126.9771842|37.562294|르꼬끄스포르티브|02-772-3706||서울 중구 소공동 롯데쇼핑센터빌딩 |||||||르꼬끄스포르티브 롯데본점(신발)점||||91001
르꼬끄스포르티브|신세계본점|126.980709|37.5613244|르꼬끄스포르티브|02-310-1562||서울 중구 충무로1가 신세계백화점건물 52-5|||||||르꼬끄스포르티브 신세계본점|8층 르꼬끄 스포르티브|||91001
르꼬끄스포르티브|두타2점|126.9902051|37.5652564|르꼬끄스포르티브|02-3398-5002|서울특별시 중구 을지로6가 장충단로 275||||||||르꼬끄스포르티브 두타2점|B1층 7호 (두산타워빌딩)|||91001
르꼬끄스포르티브|현대아울렛김포(상설)점|126.7825834|37.5986365|르꼬끄스포르티브|031-8048-2321|경기도 김포시 고촌읍 아라육로152번길 100||||||||르꼬끄스포르티브 현대아울렛김포(상설)점|현대김포아울렛 2|||91001
르꼬끄스포르티브|롯데아울렛고양터미널(정상)점|126.7873558|37.6432063|르꼬끄스포르티브|031-936-3825|경기도 고양시 일산동구 중앙로 1036||||||||르꼬끄스포르티브 롯데아울렛고양터미널(정상)점|4층 르꼬끄코너 (백석동,롯데백화점 고양터미널점)|||91001
르꼬끄스포르티브|스타필드고양점|126.8926336|37.6467805|르꼬끄스포르티브|031-5173-3020|경기도 고양시 덕양구 고양대로 1955||||||||르꼬끄스포르티브 스타필드고양점|스타필드고양 3F 3140호|||91001
르꼬끄스포르티브|신세계사이먼파주(상설)점|127.0346451|37.4996452|르꼬끄스포르티브|031-8071-7340|경기도 파주시 탄현면 필승로 200||||||||르꼬끄스포르티브 신세계사이먼파주(상설)점|파주프리미엄아울렛|||91001
르꼬끄스포르티브|롯데아울렛파주2(상설)점|126.7840375|37.8529487|르꼬끄스포르티브|031-960-2732|경기도 파주시 회동길 390||||||||르꼬끄스포르티브 롯데아울렛파주2(상설)점|롯데프리미엄아울렛파주|||91001
르꼬끄스포르티브|현대신촌점|126.9342|37.5586|르꼬끄스포르티브|02-3145-2760||서울 서대문구 창천동 현대백화점신촌점 30-33|||||||르꼬끄스포르티브 현대신촌점|6층|||91001
르꼬끄스포르티브|NC불광점|126.9290005|37.6097418|르꼬끄스포르티브|02-350-8659||서울 은평구 대조동 240|||||||르꼬끄스포르티브 NC불광점||||91001
르꼬끄스포르티브|신세계사이먼여주(상설)점|127.6125373|37.2426374|르꼬끄스포르티브|031-8087-2662|경기도 여주시 명품로 360||||||||르꼬끄스포르티브 신세계사이먼여주(상설)점|(상거동)|||91001
르꼬끄스포르티브|스타필드고양(상설)점|126.8926336|37.6467805|르꼬끄스포르티브||경기도 여주시 가남읍 여주남로 782||||||||르꼬끄스포르티브 스타필드고양(상설)점|태은물류 반품센터|||91001
르꼬끄스포르티브|스타필드하남직영점|127.2096098226|37.5406499159|르꼬끄스포르티브|031-8072-8468|경기도 하남시 미사대로 750||||||||르꼬끄스포르티브 스타필드하남직영점|792 L2층 2195호|||91001
르꼬끄스포르티브|롯데청량리점|127.0470217|37.5809967|르꼬끄스포르티브|02-3707-1615||서울 동대문구 전농동 591-53|||||||르꼬끄스포르티브 롯데청량리점||||91001
르꼬끄스포르티브|엔터식스상봉점|127.0892993|37.5985302|르꼬끄스포르티브|070-8808-4578||서울 중랑구 상봉동 현대 엠코 이노시티 |||||||르꼬끄스포르티브 엔터식스상봉점||||91001
르꼬끄스포르티브|엔터식스왕십리2점|127.038069638|37.5606517739|르꼬끄스포르티브|070-8844-7332|서울특별시 성동구 행당동 왕십리광장로 17||||||||르꼬끄스포르티브 엔터식스왕십리2점|(왕십리민자역사내)|||91001
