##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@유진투자증권
유진투자증권|본사/영업부|||유진투자증권|02-368-6600|서울특별시 영등포구 국제금융로 24||||||||유진투자증권 본사/영업부|유진그룹빌딩|||40518
유진투자증권|압구정지점|||유진투자증권|02-547-5404|서울특별시 강남구 논현로 176길 14||||||||유진투자증권 압구정지점|(신사동) 증권빌딩 3층|||40518
유진투자증권|역삼지점|||유진투자증권|02-566-3090|서울특별시 강남구 테헤란로 216||||||||유진투자증권 역삼지점|신웅타워 2층|||40518
유진투자증권|영등포지점|||유진투자증권|02-2679-2161|서울특별시 영등포구 당산로 77||||||||유진투자증권 영등포지점|태창빌딩 2층|||40518
유진투자증권|석관동지점|||유진투자증권|02-960-4321|서울특별시 성북구 화랑로 254||||||||유진투자증권 석관동지점|대성플라자 2층|||40518
유진투자증권|잠실지점|||유진투자증권|02-413-5588|서울특별시 송파구 백제고분로 75||||||||유진투자증권 잠실지점|올림피아빌딩 2층|||40518
유진투자증권|대방동지점|||유진투자증권|02-823-0111|서울특별시 동작구 여의대방로 44길 대림쇼핑타운 2층 ||||||||유진투자증권 대방동지점||||40518
유진투자증권|강동지점|||유진투자증권|02-485-6500|서울특별시 강동구 성내로 19||||||||유진투자증권 강동지점|서경빌딩 2층|||40518
유진투자증권|명동지점|||유진투자증권|02-755-6900|서울특별시 중구 명동길 65||||||||유진투자증권 명동지점|보림빌딩 4층|||40518
유진투자증권|대치지점|||유진투자증권|02-554-6500|서울특별시 강남구 언주로30길 13||||||||유진투자증권 대치지점|대림아크로텔 C동 14층|||40518
유진투자증권|광화문지점|||유진투자증권|02-2075-7300|서울특별시 종로구 종로 19||||||||유진투자증권 광화문지점|르메이에르 2층|||40518
유진투자증권|분당지점|||유진투자증권|031-705-5252|경기도 성남시 분당구 황새울로 360번길 35||||||||유진투자증권 분당지점|서현현대프라자 5층|||40518
유진투자증권|산본지점|||유진투자증권|031-398-1100|경기도 군포시 광정로 80||||||||유진투자증권 산본지점|신원타워 2층|||40518
유진투자증권|대구지점|||유진투자증권|053-753-7744|대구광역시 수성구 화랑로 60||||||||유진투자증권 대구지점|글로벌빌딩 2층|||40518
유진투자증권|포항지점|||유진투자증권|054-275-3344|경상북도 포항시 남구 대이로 159번길 12||||||||유진투자증권 포항지점|2층 (이동프라자)|||40518
유진투자증권|포항북지점|||유진투자증권|054-246-2700|경상북도 포항시 북구 새천년대로 1291||||||||유진투자증권 포항북지점|1층 (장성동,유명빌딩)|||40518
유진투자증권|부전지점|||유진투자증권|051-811-1800|부산광역시 부산진구 중앙대로 775번길 5||||||||유진투자증권 부전지점|삼정기업빌딩 3층|||40518
유진투자증권|해운대지점|||유진투자증권|051-746-3405|부산광역시 해운대구 마린시티2로 33||||||||유진투자증권 해운대지점|A동 8층 (우동,해운대 두산제니스 스퀘어상가)|||40518
유진투자증권|울산지점|||유진투자증권|052-260-0165|울산광역시 중구 명륜로 41||||||||유진투자증권 울산지점|부익빌딩 2층|||40518
유진투자증권|대전지점|||유진투자증권|042-257-1600|대전광역시 중구 대종로 484||||||||유진투자증권 대전지점|JS빌딩 2층|||40518
유진투자증권|천안지점|||유진투자증권|041-568-7111|충청남도 천안시 서북구 동서대로 129-12||||||||유진투자증권 천안지점|백석대학빌딩 3층|||40518
유진투자증권|광주지점|||유진투자증권|062-232-7000|광주광역시 서구 상무시민로 75||||||||유진투자증권 광주지점|(치평동) 광주평화방송빌딩 3층|||40518
유진투자증권|광주북지점|||유진투자증권|062-527-1100|광주광역시 북구 북문대로 105||||||||유진투자증권 광주북지점|황금빌딩 2층|||40518
유진투자증권|전주지점|||유진투자증권|063-287-9977|전라북도 전주시 완산구 서신로 62||||||||유진투자증권 전주지점|지리산빌딩 2층|||40518
