##NAME|SUBNAME|TELNUM|NEWADDR|WEBSITE|SOURCE2|XCOORD|YCOORD@@갤러리
갤러리두루||02-798-1900|서울시 용산구 이태원1동 102-29|http://www.through.co.kr|김달진미술연구소|126.99435070000004|37.5358728
갤러리서화||02-546-2103|서울시 용산구 독서당로 124-8|http://www.galleryseohwa.co.kr|김달진미술연구소|127.01310549999994|37.5373907
갤러리에스피||02-546-3560|서울시 용산구 회나무로 44가길 31층|http://www.gallerysp.com|김달진미술연구소|127.02162699999996|37.5223133
박여숙화랑||02-544-7393|서울 용산구 소월로38길 30-34|http://www.parkryusookgallery.co.kr|김달진미술연구소|127.04721829999994|37.5252175
어반아트||02-511-2931|서울시 용산구 소월로44길 7|http://www.urbanart4u.com|김달진미술연구소|126.99270469999999|37.5424102
아트스페이스 루||02-790-3888|서울시 용산구 한강대로44길 5 PAA빌딩 B1|http://www.artspaceloo.com|김달진미술연구소|126.9704901|37.5310818
숙명여대문신미술관||02-710-9280|서울시 용산구 청파로 47길 100 숙명여자대학교|http://www.moonshin.or.kr|김달진미술연구소|126.96544419999998|37.5384272
더컬럼스갤러리||02-3442-6301|서울시 용산구 이태원로27길 31-2|http://www.columns.co.kr|김달진미술연구소|126.99401250000005|37.535441
제이케이스페이스||02-795-0443|서울시 용산구 한남동 686-1|http://|김달진미술연구소|126.9998300|37.5343831
移 갤러리에이큐브||02-793-1115|서울시 용산구 이태원2동 533 2F|http://www.gallerya-cube.co.kr|김달진미술연구소|126.98720179999998|37.536219
비컨갤러리||02-567-1652|서울시 용산구 용산동 5가 24번지 파크타워 103동 203호|http://www.beacongallery.kr|김달진미술연구소|126.9707310|37.5242567
식스 Six||02-749-2525|서울시 용산구 한남동 739-1 B1|http://|김달진미술연구소|127.0012807|37.5381905
갤러리가비||02-735-1036|서울시 용산구 한강대로52길 37|http://www.gallerygabi.com|김달진미술연구소|126.97300799999994|37.5315407
閉 갤러리지오 Gallery Geo||02-3218-1301|서울시 용산구 한남동 682-3|http://www.gallerygeo.com|김달진미술연구소|127.0020487|37.5382177
休 갤러리비케이||02-790-7079|서울시 용산구 한남동 657-155 1F|http://www.gallerybk.co.kr|김달진미술연구소|127.00117899999998|37.533853
移 갤러리스케이프||02-747-4675|서울시 용산구 한남동 32-23|http://www.skape.co.kr|김달진미술연구소|127.01018640000006|37.5351515
移 갤러리골목||02-792-2960|서울시 용산구 이태원동 34-23 1F|http://www.gallery-golmok.com|김달진미술연구소|126.98926849999998|37.5336588
갤러리쉐자아르||02-529-2033|서울시 용산구 용산동1가 8 전쟁기념관내|http://blog.naver.com/gchezart|김달진미술연구소|126.9777629|37.5362151
테이크아웃드로잉 한남동||797-3139|서울특별시 용산구 이태원로 252|http://www.takeoutdrawing.com|김달진미술연구소|127.00108640000008|37.5370671
테이크아웃드로잉 이태원동||540-0107|서울시 용산구 녹사평대로 244 1F|http://www.takeoutdrawing.com|김달진미술연구소|126.98737920000008|37.5392489
아마도예술공간||02-790-1178|서울시 용산구 이태원로54길 8|http://www.amadoart.org|김달진미술연구소|127.00182610000002|37.5377644
대림미술관 구슬모아당구장||02-3785-0667|서울 용산구 한남동 29-4|http://|김달진미술연구소|127.00905020000005|37.5344824
갤러리바톤||02-597-5701|서울시 용산구 독서당로 116|http://www.gallerybaton.com|김달진미술연구소|127.01212599999997|37.5364166
갤러리아트플라자||02-543-5751|서울시 용산구 서빙고로 309-7|http://www.artplazagallery.com|김달진미술연구소|127.0274018|37.5247315
休 갤러리골목||02-792-5030|서울 용산구 녹사평대로 174-11(이태원동 34-8) 1F|http://www.gallery-golmok.com|김달진미술연구소|126.98996650000004|37.5345491
남산도서관 1층 남산갤러리||02-754-7338|-, 서울특별시 용산구 소월로 109|http://|김달진미술연구소||
공평갤러리||02-749-7071|서울특별시 용산구 한강대로 211 대우 월드마크 용산 101호|http://www.gpgallery.co.kr|김달진미술연구소|126.97288630000003|37.53711800000001
갤러리파비욘드||02-790-1144|서울 용산구 한강대로52길 22(한강로2가 45-1) 시가이아팰리스 102호|http://blog.naver.com/far__beyond|김달진미술연구소|126.9725545|37.5319872
룬트갤러리 (전 키스갤러리 이태원)||02-745-0180|서울 용산구 우사단로10길 88|http://www.kissgallery.co.kr|김달진미술연구소|127.00006869999993|37.5319324
