##NAME|TYPE|SUBNAME|TELNUM|NEWADDR|OT|OFFDAY|COST|FEAT|WEBSITE|SOURCE2|XCOORD|YCOORD@@미술관
강릉시립미술관|공립||033-640-4271|강원 강릉시 화부산로 40번길 46|오전 9:00 - 오후 6:00|매주 월요일, 1월 1일, 설날, 추석|무료||http://gn.go.kr/mu|한국박물관협회||
겸재정선미술관|공립||02-2659-2206~7|서울 강서구 양천로 47길 36|10:00~18:00 / 주말, 공휴일 10:00~17:00 / 동절기(11~2월) 10:00~17:00|매주 월요일, 1월 1일, 설, 추석|일반 : 1,000원(단체 : 700원) / 초·중·고등학생, 군·경 : 500원(단체 : 300원) / ※단체 20명 이상|아트샵; 카페|http://gjjs.or.kr|한국박물관협회|126.8384617|37.5722490
경기도미술관|공립||031-481-7000|경기 안산시 단원구 동산로 268|10:00~18:00|매주 월요일(월요일이 공휴일일 경우 제외) / 1월 1일 / 설날, 추석 당일|무료|아트샵; 카페; 라이브러리|http://gmoma.ggcf.kr|한국박물관협회|126.8138992|37.3259057
경주솔거미술관|공립||054-740-3990|경상북도 경주시 경감로614(천군동130)|09:00~18:00(관람종료 1시간 전까지 입장가능)*하·동절기 변경될 수 있습니다.|매주 월요일, 1월 1일, 설날 및 추석 당일*월요일이 공휴일일 경우 그 다음날이 휴관일|성인 1,000원 / 청소년 및 군인 700원 / 어린이 500원*유아, 장애인(1~3급 동반 1인), 경로우대 무료*단체관람 시 할인요금(별도문의)*경주시민 50% 할인*특별전은 별도 관람료 적용|아트숍; 아카이브실; 카페 솔거랑|http://www.gjsam.or.kr/ko/|한국박물관협회||
경주예술의전당/알천미술관|공립||054-748-7725|경북 경주시 알천북로 1 경주예술의전당|10:00~18:00|매주 월요일|전시마다 다름|전망대; 커피숍; 회의실 등|http://www.gjartcenter.kr|한국박물관협회|129.2061027|35.8625486
광주시립미술관|공립||062-613-7100|광주 북구 하서로 52|10:00~18:00|매주 월요일, 1월 1일, 설ㆍ추석 당일|일반 : 500원(단체 : 400원) / 청소년·군인 : 300원(단체 : 200원) / 어린이 : 200원(단체 : 100원) / ※단체 20명 이상|카페|http://artmuse.gwangju.go.kr|한국박물관협회|126.8856750|35.1825100
국립현대미술관|국립|과천관|02-2188-6000|경기 과천시 광명로 313|하절기(3월~10월) 10:00~18:00, 토요일: 10:00 ~ 21:00 (18:00 ~ 21:00 기획전시 무료관람)동절기(11월~2월) 10:00~17:00, 토요일: 10:00 ~ 21:00 (17:00 ~ 21:00 기획전시 무료관람)매월 마지막 주 수요일 ‘문화가 있는 날’은 밤 9시까지 관람하실수 있습니다|매주 월요일, 1월 1일(월요일이 공휴일인 경우,월요일 당일 개관 후 그 다음 평일이 휴관)|관람료는 전시에 따라 다름 / 매월 마지막 수요일 문화가 있는 날 : 무료|아트존; 카페테리아; 야외공원|http://www.mmca.go.kr|한국박물관협회|127.0199375|37.4311346
국립현대미술관|국립|덕수궁관|02-2022-6000|서울 중구 세종대로 99|화, 목, 금, 일요일 10:00 ~ 19:00수, 토요일: 10:00 ~ 21:00 (야간개장)|매주 월요일, 1월 1일※ 월요일이 공휴일인 경우,월요일 당일 개관 후 그 다음 평일이 휴관일|관람료는 전시에 따라 다름|아트존|http://mmca.go.kr|한국박물관협회||
국립현대미술관|국립|서울관|02-3701-9500|서울 종로구 삼청로 30|10 : 00 ~ 18 : 00|365일 개방|통합관람권 4,000원|카페테리아; 문화상품점; 수유실 등|http://mmca.go.kr|한국박물관협회||
국립현대미술관|국립|청주관|043-261-1400|충북 청주시 청원구 상당로 314|화~일요일 10:00 ~ 18:00|매주 월요일, 1월 1일, 설날, 추석|무료|개방수장고(국립현대미술관 소장품/ open storage)보이는 수장고(국립현대미술관 소장품/ visible storage)|http://www.mmca.go.kr/|한국박물관협회||
