##NAME|TYPE|SUBNAME|TELNUM|NEWADDR|OT|OFFDAY|COST|FEAT|WEBSITE|SOURCE2|XCOORD|YCOORD@@미술관
(재)한원미술관|사립||02-588-5642|서울 서초구 남부순환로 2423 한원빌딩 B1|10:00~18:00|매주 월요일, 공휴일(일요일 제외)|무료||http://www.hanwon.org|한국박물관협회|127.0153202|37.4817557
CICA미술관|사립||031-988-6363|경기 김포시 양촌읍 삼도로 196-30|10:30~17:30|월, 화요일|일반 : 5,000원 / 김포 시민 : 4,000원 / 어린이(초등학생, 유치원생) : 3,000원|미디어관; CICA 가든; CICA 아트 앤 북 까페|http://cicamuseum.com|한국박물관협회|126.5977374|37.6081526
VM아트미술관|사립||070-8915-8123|전북 완주군 삼례읍 삼례역로 81-13|10:00~18:00|매주 월요일, 1월 1일|성인 : 2,000원 / 청소년 : 1,000원 / 유치원생(만3세 이상) : 500원|아트샵; 카페|http://www.srartvil.kr|한국박물관협회|127.0658056|35.9058849
W미술관|사립||063-835-3033|전북 익산시 동서로 504|10:00~18:00|||한옥별관; 세미나실||한국박물관협회||
교동미술관|사립||063-287-1244|전북 전주시 완산구 경기전길89|하절기(4월~9월) 10:00~19:00 / 동절기(10월~3월) 10:00~18:00|매주 월요일|무료||http://www.gdart.co.kr|한국박물관협회|127.1511761|35.8155051
국제현대미술관|사립||033-375-2752|강원 영월군 영월읍 삼옥길 31|09:00~18:00|매주 월요일|성인 : 5,000원(단체 : 4,000원) / 초 · 중 · 고등학생 : 4,000원(단체 : 3,000원) / 유치원 : 3,000원(단체 : 2,000원) / ※단체 20명 이상|아트샵|http://ywmuseum.com/museum/index.do?museum_no=15|한국박물관협회|128.5066380|37.2082850
금호미술관|사립||02-720-5114|서울 종로구 삼청로 18|10:00~18:00|매주 월요일, 설·추석 연휴|무료||http://www.kumhomuseum.com|한국박물관협회|126.9798243|37.5775115
김영갑갤러리두모악미술관|사립||064-784-9907|제주 서귀포시 성산읍 삼달로 137|3~6월 9:30~18:00 / 7~8월 9:30~19:00 / 9~10월 9:30~18:00 / 11~2월 9:30~17:00|매주 수요일, 설·추석 당일|어른 : 3,000원 / 청소년, 제주도민, 군인, 국가유공자 : 2,000원 / 어린이, 경로 : 1,000원|아트샵; 레스토랑; 카페; 미로공원|http://www.dumoak.com|한국박물관협회|126.8541870|33.3720650
남포미술관|사립||061-832-0003|전남 고흥군 영남면 팔영로 1081|||||http://www.nampoart.co.kr|한국박물관협회||
내설악백공미술관|사립||033-461-2780|강원 인제군 북면 황태길 245|10:00~17:00|매주 월요일|무료|휴게실|http://www.insemuseum.org|한국박물관협회|128.3622615|38.2133625
다산미술관|사립||061-371-3443|전남 화순군 남면 다공길 25|11:00~17:00|매주 일요일, 공휴일|무료||http://blog.naver.com/dasan_art1|한국박물관협회|127.1263875|35.0233083
당림미술관|사립||041-543-6969|충남 아산시 송악면 외암로 1182번길 34-19|10:00~18:00|매주 월요일|일반 : 3,000원(단체 : 2,500원) / 청소년 : 2,000원(단체 : 1,500원) / 어린이 : 1,000원(단체 : 800원) / ※단체 30명 이상||http://dangnim.modoo.at|한국박물관협회|127.0187375|36.7428013
대담미술관|사립||061-381-0082|전남 담양군 담양읍 언골길 5-4|하절기 : 오전 10시 ~ 오후 9시 / 동절기(11월~2월) : 오전 10시 ~ 오후 8시공휴일 : 정상운영|연중무휴|무료|아트샵; 카페; 체험관; 교육관|http://www.daedam.kr|한국박물관협회|126.9835330|35.3252610
